Direccion,Barrio,Latitud,Longitud,Tipo_vivienda,Dproymes,Localidad,Cod_proyecto,Proyecto
Cr. 8A # 108A-19,Santa Ana Oriental,-74.03838939299999,4.689679658999978,No VIS,Abril,Usaquén,32027,Torre de la Stazione
Cr. 7BBis # 123-44,Santa Bárbara,-74.03164073300002,4.699640241999987,No VIS,Abril,Usaquén,32028,El Roble 124
Cl. 106A # 57-40,Puente Largo,-74.06635134499999,4.694768179999983,No VIS,Abril,Suba,32029,Edificio Millenium
Cl. 94 # 17-31,Chicó,-74.052500861,4.680082265999999,No VIS,Abril,Chapinero,32030,Benialt 94
Cr. 15 # 135-04,Nuevo Country,-74.04200162699999,4.717964041000016,No VIS,Abril,Usaquén,32031,Privatto
Cr. 54 # 106-15,Pasadena,-74.06355376099998,4.694939191999992,No VIS,Abril,Suba,32032,Nativo 106
Cl. 82 Cr 8,Cabrera,-74.05010338599999,4.664254187999973,No VIS,Abril,Chapinero,32033,Casa Cabrera
Cr. 21 # 135-30,Nueva Autopista,-74.04898025099999,4.720281895000028,No VIS,Abril,Usaquén,32034,Nuvo Park 135
Cl. 114A # 19A-57,San Patricio,-74.052013902,4.697748541999999,No VIS,Abril,Usaquén,32036,Hauss 114
Cl. 105A # 14-52,Santa Paula,-74.04536941499998,4.689373294000006,No VIS,Abril,Usaquén,32037,Q. 105
Cl. 110A # 6-07,Santa Ana,-74.03380419000001,4.688619562999975,No VIS,Abril,Usaquén,32038,Santa Ana
Cr. 9 # 96-61,Chicó,-74.04240099999998,4.678499999999985,No VIS,Abril,Chapinero,32039,Element 9-96
Cr. 10A # 134B-42,Lisboa,-74.03486099999998,4.715273000000025,No VIS,Abril,Usaquén,32040,Alfama
Cr. 12 # 138-41,Lisboa,-74.03809999999999,4.719165999999973,No VIS,Abril,Usaquén,32041,Taio 138
Tv. 19A # 95-61,Chicó,-74.05364600000001,4.683224999999993,No VIS,Abril,Chapinero,32042,Nest 95
Cr. 53 # 104B-67,Pasadena,-74.06295399999999,4.694014999999979,No VIS,Abril,Suba,32043,Casa Magenta
Cr. 6 # 91-85,Chicó,-74.04366599999997,4.670904000000007,No VIS,Abril,Chapinero,32044,Aluna
Cl. 120 # 7-51,Santa Bárbara,-74.03225800000001,4.696962999999982,No VIS,Abril,Usaquén,32045,Arezzo 120
Cl. 92 # 9A-27,Chicó,-74.04698203999999,4.672690165000006,No VIS,Abril,Chapinero,32046,Fiorhé
Cl. 140 # 21-23,Nueva Autopista,-74.04888575400003,4.723654117000024,No VIS,Abril,Usaquén,32047,Metro 21
Cr. 17A # 122-81,Santa Bárbara,-74.04635039700003,4.702128841999979,No VIS,Abril,Usaquén,32048,Portal 17
Cr. 22 # 137-49,Nueva Autopista,-74.04960563499998,4.722948658000007,No VIS,Abril,Usaquén,32049,Helton 137
Cr. 17 # 124-28,Santa Bárbara,-74.04503607700002,4.702888310999981,No VIS,Abril,Usaquén,32050,Pórtico V
Cr. 17A # 123-65,Santa Bárbara,-74.04615865,4.703271013000006,No VIS,Abril,Usaquén,32051,Bilanka 123
Cl. 126 # 49-40,El Batán,-74.05812765600001,4.706712229000004,No VIS,Abril,Suba,32052,Ed. Santa María
Cl. 97A # 10-60,Chicó,-74.04399572800003,4.680671827000026,VIS,Abril,Chapinero,32053,Edificio H
Cr. 18 # 85-24,Antiguo Country,-74.05656587800001,4.671206400000017,No VIS,Abril,Chapinero,32054,Universal
Cl. 108 # 15A-40,San Patricio,-74.04618403699999,4.692614504999995,No VIS,Abril,Usaquén,32055,Portal 108
Av. Cr. 72 # 129-01,Sotileza,-74.075868668,4.722755586999995,No VIS,Abril,Suba,40502,BranteVilla Bosque Residencial
Cr. 15 # 173-25,La Alameda,-74.037444774,4.753503018999993,No VIS,Abril,Usaquén,40657,Alameda Plaza
Cl. 131 # 78A-61,Colinas de Suba,-74.07729156599999,4.723928668999974,No VIS,Abril,Suba,40709,Bosque Verde
Cr. 79C # 129-20,Colinas de Suba,-74.07869700399999,4.72231988599998,No VIS,Abril,Suba,40801,Montereserva
Cr. 11A # 191-52,Maranta,-74.03199844800002,4.769285342999979,No VIS,Abril,Usaquén,40871,Kepler
